Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
28,6,2013,2,59,58,BEG,4.56,14,3.07,NF,19,16,15,4,0,0,0,0,0,22,0,0,19,0,0,3,2,571,13,14
28,6,2013,3,0,4,BEG,5.50,13,2.36,NF,17,21,11,4,1,0,0,0,0,27,0,0,23,0,0,5,5,716,13,13
28,6,2013,3,0,12,BEG,6.47,21,3.24,NF,10,29,13,2,0,0,0,0,0,34,0,0,28,0,0,4,4,947,15,17
28,6,2013,3,0,25,BEG,4.87,15,3.08,NF,18,21,12,3,0,0,0,0,0,27,0,0,23,0,0,4,6,726,11,11
28,6,2013,3,0,28,BEG,2.12,4,1.88,NF,24,18,8,2,2,0,0,0,0,8,0,0,5,0,0,1,2,360,4,4
28,6,2013,3,0,46,BEG,4.87,14,2.87,NF,16,25,10,3,0,0,0,0,0,19,0,0,17,0,0,2,3,678,11,11
28,6,2013,3,0,52,BEG,5.15,22,4.27,Flag,14,27,9,4,0,0,0,0,0,23,1,3,22,1,2,2,2,638,15,18
28,6,2013,3,1,15,BEG,4.62,20,4.32,NF,17,21,11,4,1,0,0,0,0,21,0,0,20,0,0,1,1,538,14,16
28,6,2013,3,1,24,BEG,4.73,15,3.17,NF,14,25,14,1,0,0,0,0,0,24,0,0,21,0,0,3,4,539,13,15
28,6,2013,3,1,33,BEG,5.25,11,2.09,Flag,19,26,5,1,3,0,0,0,0,16,1,2,13,1,2,4,2,703,11,11
28,6,2013,3,1,48,BEG,6.10,22,3.60,NF,14,20,18,2,0,0,0,0,0,31,0,0,30,0,0,4,4,738,15,17
28,6,2013,3,2,25,BEG,6.33,27,4.26,NF,15,20,15,3,1,0,0,0,0,30,0,0,29,0,0,2,2,760,19,19
28,6,2013,3,2,41,BEG,5.00,14,2.79,NF,19,20,10,5,0,0,0,0,0,22,0,0,19,0,0,3,3,619,12,12
28,6,2013,3,2,55,BEG,6.10,19,3.11,NF,11,29,10,4,0,0,0,0,0,30,0,0,26,0,0,4,5,897,17,17
28,6,2013,3,3,0,BEG,3.41,13,3.81,NF,22,14,12,5,1,0,0,0,0,14,0,0,13,0,0,1,1,466,11,13
28,6,2013,3,3,7,BEG,5.85,13,2.22,NF,16,22,14,1,1,0,0,0,0,25,0,0,22,0,0,5,5,801,13,13
28,6,2013,3,3,22,BEG,8.12,26,3.20,NF,9,28,17,0,0,0,0,0,0,38,0,0,34,0,0,4,3,992,20,23
28,6,2013,3,3,30,BEG,6.95,22,3.16,NF,12,24,16,2,0,0,0,0,0,30,0,0,26,0,0,3,3,960,16,17
29,6,2013,22,3,7,BEG,3.38,13,3.84,NF,18,26,7,2,1,0,0,0,0,19,0,0,18,0,0,2,2,476,8,9
29,6,2013,22,3,49,BEG,2.16,5,2.31,NF,26,13,12,3,0,0,0,0,0,12,0,0,8,0,0,3,2,340,5,5
29,6,2013,22,4,17,BEG,3.95,14,3.54,NF,21,18,10,4,1,0,0,0,0,19,0,0,17,0,0,2,2,636,11,13
29,6,2013,22,4,45,BEG,5.03,15,2.98,NF,15,25,12,2,0,0,0,0,0,24,0,0,22,0,0,2,4,803,15,14
29,6,2013,22,5,9,BEG,8.10,35,4.32,NF,9,26,15,4,0,0,0,0,0,42,0,0,41,0,0,3,2,1029,21,24
29,6,2013,22,5,48,BEG,3.41,10,2.93,NF,21,19,9,5,0,0,0,0,0,15,0,0,13,0,0,2,2,494,9,10
29,6,2013,22,6,6,BEG,5.20,18,3.46,NF,24,13,10,7,0,0,0,0,0,22,0,0,21,0,0,2,2,705,13,16
29,6,2013,22,6,18,BEG,4.82,15,3.11,NF,18,23,12,1,0,0,0,0,0,25,0,0,22,0,0,3,3,772,11,13
29,6,2013,22,6,32,BEG,3.54,13,3.67,NF,20,22,8,4,0,0,0,0,0,16,0,0,13,0,0,2,1,459,10,10
29,6,2013,22,6,53,BEG,3.88,14,3.60,NF,17,17,17,3,0,0,0,0,0,18,0,0,16,0,0,2,3,501,13,14
29,6,2013,22,7,39,BEG,3.68,7,1.90,NF,19,20,12,3,0,0,0,0,0,18,0,0,14,0,0,3,3,544,7,7
29,6,2013,22,8,17,BEG,5.39,15,2.78,NF,18,21,11,4,0,0,0,0,0,24,0,0,22,0,0,3,2,647,14,14
29,6,2013,22,8,38,BEG,3.63,12,3.30,NF,22,20,9,3,0,0,0,0,0,18,0,0,16,0,0,2,2,579,7,9
29,6,2013,22,8,47,BEG,3.13,6,1.91,NF,26,13,9,3,2,1,0,0,0,12,0,0,11,0,0,2,1,294,6,6
29,6,2013,22,8,52,BEG,3.65,11,3.01,NF,19,16,16,2,1,0,0,0,0,18,0,0,16,0,0,3,3,442,10,11
29,6,2013,22,9,15,BEG,3.57,11,3.08,NF,23,15,9,3,3,1,0,0,0,17,0,0,14,0,0,2,2,410,11,11
29,6,2013,22,9,34,BEG,5.76,18,3.12,NF,18,20,8,7,1,0,0,0,0,27,0,0,25,0,0,3,3,795,16,16
30,6,2013,10,35,58,BEG,3.99,14,3.50,NF,19,23,7,4,1,0,0,0,0,20,0,0,17,0,0,3,3,638,11,12
30,6,2013,10,36,26,BEG,5.43,17,3.13,NF,21,18,9,6,0,0,0,0,0,23,0,0,20,0,0,2,2,673,11,14
30,6,2013,10,36,59,BEG,5.55,14,2.52,NF,19,17,15,2,1,0,0,0,0,25,0,0,21,0,0,3,3,767,13,13
30,6,2013,10,37,11,BEG,7.77,30,3.86,NF,12,26,10,6,0,0,0,0,0,41,0,0,37,0,0,3,2,984,20,19
30,6,2013,10,37,16,BEG,3.94,11,2.79,NF,22,17,8,5,1,1,0,0,0,15,0,0,14,0,0,2,4,588,11,11
30,6,2013,10,37,26,BEG,4.98,14,2.81,Flag,15,26,12,0,1,0,0,0,0,14,2,4,13,2,4,4,4,740,14,14
30,6,2013,10,37,45,BEG,6.00,29,4.83,NF,14,18,17,4,1,0,0,0,0,31,0,0,30,0,0,1,2,782,18,20
30,6,2013,13,52,31,BEG,2.73,11,4.02,NF,24,11,14,3,1,1,0,0,0,15,0,0,14,0,0,2,3,364,9,9
30,6,2013,13,53,8,BEG,6.56,20,3.04,NF,11,27,15,1,0,0,0,0,0,32,0,0,27,0,0,3,4,1081,14,15
30,6,2013,13,53,13,BEG,3.23,12,3.71,NF,21,13,16,3,1,0,0,0,0,17,0,0,16,0,0,2,2,395,9,10
30,6,2013,13,53,19,BEG,2.51,8,3.18,NF,27,14,10,3,0,0,0,0,0,10,0,0,9,0,0,1,4,448,8,8
30,6,2013,13,53,29,BEG,4.60,13,2.82,NF,19,19,14,1,1,0,0,0,0,23,0,0,20,0,0,4,3,536,11,11
30,6,2013,16,25,19,BEG,4.08,15,3.67,NF,21,18,12,2,1,0,0,0,0,21,0,0,19,0,0,2,2,539,12,12
30,6,2013,16,25,28,BEG,4.58,15,3.27,NF,17,21,13,2,1,0,0,0,0,20,0,0,19,0,0,2,4,584,15,15
30,6,2013,16,26,52,BEG,7.26,28,3.85,NF,13,28,7,5,1,0,0,0,0,37,0,0,34,0,0,3,1,940,16,19
30,6,2013,16,27,8,BEG,7.16,24,3.35,NF,13,25,16,0,0,0,0,0,0,36,0,0,30,0,0,3,4,869,18,18
30,6,2013,16,27,22,BEG,4.27,16,3.74,NF,16,24,9,4,1,0,0,0,0,23,0,0,20,0,0,2,4,674,14,15
30,6,2013,16,27,32,BEG,3.58,13,3.63,NF,21,19,10,4,0,0,0,0,0,17,0,0,16,0,0,2,3,511,10,11
30,6,2013,16,27,39,BEG,5.00,15,3.00,NF,21,20,10,3,0,0,0,0,0,25,0,0,22,0,0,3,3,698,11,11
30,6,2013,16,28,20,BEG,4.87,15,3.08,NF,21,20,10,2,1,0,0,0,0,21,0,0,19,0,0,2,2,676,13,13
30,6,2013,16,28,47,BEG,3.92,14,3.57,NF,21,17,10,6,0,0,0,0,0,18,0,0,17,0,0,2,2,560,13,14
30,6,2013,16,42,3,BEG,4.40,18,4.09,NF,25,16,8,4,1,0,0,0,0,19,0,0,18,0,0,1,2,699,11,14
30,6,2013,17,15,38,BEG,5.81,18,3.09,NF,15,23,10,5,1,0,0,0,0,28,0,0,24,0,0,4,4,728,16,16
30,6,2013,17,18,38,BEG,3.40,7,2.05,NF,22,24,5,2,0,1,0,0,0,12,0,0,9,0,0,2,4,530,7,7
30,6,2013,17,19,19,BEG,4.80,13,2.70,NF,20,18,11,4,1,0,0,0,0,22,0,0,18,0,0,3,3,655,13,13
30,6,2013,17,19,28,BEG,5.74,16,2.78,NF,14,28,10,2,0,0,0,0,0,24,0,0,20,0,0,3,4,794,12,11
30,6,2013,17,19,34,BEG,4.06,10,2.46,NF,19,20,9,6,0,0,0,0,0,20,0,0,17,0,0,4,4,603,10,10
30,6,2013,17,19,45,BEG,3.01,10,3.32,NF,23,24,4,1,2,0,0,0,0,11,0,0,10,0,0,1,2,378,9,10
30,6,2013,17,20,3,BEG,5.51,18,3.26,NF,16,23,12,2,1,0,0,0,0,24,0,0,22,0,0,3,4,754,15,16
30,6,2013,18,31,0,BEG,6.21,22,3.54,NF,12,29,10,2,1,0,0,0,0,31,0,0,27,0,0,4,3,964,17,18
30,6,2013,18,31,11,BEG,4.60,17,3.69,NF,20,18,11,3,2,0,0,0,0,21,0,0,19,0,0,2,2,676,12,14
30,6,2013,18,31,38,BEG,6.26,19,3.03,NF,15,22,10,6,1,0,0,0,0,30,0,0,26,0,0,4,4,891,16,16
30,6,2013,18,31,50,BEG,2.68,12,4.47,NF,21,18,11,4,0,0,0,0,0,13,0,0,12,0,0,1,3,452,12,12
30,6,2013,18,33,6,BEG,4.71,20,4.24,NF,15,23,12,4,0,0,0,0,0,24,0,0,23,0,0,2,3,647,15,16
30,6,2013,18,33,13,BEG,3.96,13,3.28,NF,20,18,11,2,3,0,0,0,0,19,0,0,18,0,0,3,4,461,13,13
30,6,2013,18,42,40,BEG,4.76,15,3.15,NF,13,31,9,1,0,0,0,0,0,26,0,0,24,0,0,3,5,734,12,12
30,6,2013,18,42,56,BEG,4.76,15,3.15,NF,17,22,10,4,1,0,0,0,0,26,0,0,23,0,0,4,4,697,11,11
30,6,2013,18,43,11,BEG,2.67,8,2.99,NF,26,12,10,5,1,0,0,0,0,14,0,0,11,0,0,3,4,478,8,8
30,6,2013,18,43,25,BEG,3.71,14,3.77,NF,20,21,9,1,1,2,0,0,0,19,0,0,17,0,0,2,2,424,11,12
30,6,2013,18,43,39,BEG,7.67,33,4.30,NF,11,29,10,4,0,0,0,0,0,38,0,0,36,0,0,2,2,933,20,21
30,6,2013,18,43,53,BEG,3.85,15,3.89,NF,21,20,8,5,0,0,0,0,0,21,0,0,19,0,0,2,1,574,11,12
30,6,2013,18,44,24,BEG,4.14,8,1.93,NF,24,15,7,6,2,0,0,0,0,20,0,0,15,0,0,3,4,692,8,8
30,6,2013,18,44,48,BEG,2.70,10,3.70,NF,20,24,7,2,1,0,0,0,0,14,0,0,13,0,0,2,3,393,7,8
30,6,2013,18,45,26,BEG,5.07,19,3.74,NF,16,18,18,2,0,0,0,0,0,25,0,0,23,0,0,3,1,728,13,17
30,6,2013,18,45,42,BEG,5.32,15,2.81,NF,18,20,13,3,0,0,0,0,0,23,0,0,21,0,0,3,4,735,12,12
30,6,2013,18,45,46,BEG,3.20,10,3.12,NF,24,14,12,4,0,0,0,0,0,14,0,0,11,0,0,2,4,453,10,10
30,6,2013,18,46,12,BEG,3.76,12,3.19,NF,23,17,8,2,3,1,0,0,0,18,0,0,16,0,0,2,4,625,12,12
30,6,2013,18,46,41,BEG,5.43,22,4.05,NF,14,20,17,3,0,0,0,0,0,27,0,0,26,0,0,2,3,791,19,21
30,6,2013,18,46,51,BEG,4.20,15,3.57,NF,18,21,11,4,0,0,0,0,0,21,0,0,20,0,0,3,2,563,12,13
30,6,2013,18,47,59,BEG,4.51,15,3.32,NF,19,21,6,8,0,0,0,0,0,21,0,0,19,0,0,3,3,621,13,14
30,6,2013,18,48,19,BEG,5.67,23,4.05,NF,14,28,7,5,0,0,0,0,0,31,0,0,28,0,0,2,3,832,16,18
30,6,2013,18,48,36,BEG,6.48,27,4.16,NF,11,22,16,5,0,0,0,0,0,36,0,0,34,0,0,3,2,928,17,18
30,6,2013,18,49,17,BEG,2.93,12,4.09,NF,28,16,2,7,1,0,0,0,0,13,0,0,12,0,0,1,2,464,10,11
30,6,2013,18,49,37,BEG,3.45,16,4.63,NF,19,22,12,1,0,0,0,0,0,19,0,0,17,0,0,1,2,539,10,12
30,6,2013,18,50,8,BEG,4.01,13,3.24,NF,21,17,13,2,1,0,0,0,0,21,0,0,19,0,0,3,5,518,13,13
30,6,2013,18,50,44,BEG,3.03,13,4.29,NF,23,17,10,3,1,0,0,0,0,14,0,0,13,0,0,1,2,361,10,11
30,6,2013,20,6,51,BEG,6.54,34,5.19,NF,12,24,14,4,0,0,0,0,0,35,0,0,34,0,0,1,1,830,21,20
30,6,2013,20,7,56,BEG,5.32,16,3.00,NF,15,22,13,4,0,0,0,0,0,27,0,0,23,0,0,3,4,795,16,16
30,6,2013,20,8,13,BEG,1.87,7,3.74,NF,24,18,7,5,0,0,0,0,0,8,0,0,7,0,0,1,2,219,7,7
30,6,2013,20,9,28,BEG,5.64,25,4.43,NF,14,24,14,1,1,0,0,0,0,31,0,0,29,0,0,2,2,867,15,15
30,6,2013,20,9,44,BEG,3.35,11,3.28,NF,22,14,11,5,1,1,0,0,0,17,0,0,15,0,0,3,6,494,11,11
30,6,2013,20,9,59,BEG,4.29,14,3.26,NF,17,23,9,4,1,0,0,0,0,19,0,0,17,0,0,2,3,559,12,14
30,6,2013,20,10,9,BEG,4.84,10,2.06,NF,15,20,18,1,0,0,0,0,0,23,0,0,21,0,0,4,3,750,10,10
30,6,2013,20,10,17,BEG,2.92,9,3.08,NF,18,21,14,1,0,0,0,0,0,14,0,0,12,0,0,2,5,545,9,9
30,6,2013,20,10,39,BEG,4.12,18,4.36,NF,15,26,12,1,0,0,0,0,0,21,0,0,19,0,0,1,6,601,16,18
30,6,2013,20,11,10,BEG,5.04,19,3.76,NF,14,26,10,4,0,0,0,0,0,27,0,0,23,0,0,4,3,760,14,16
30,6,2013,20,11,54,BEG,4.37,13,2.97,NF,22,17,7,4,1,3,0,0,0,20,0,0,17,0,0,3,5,555,13,13
30,6,2013,20,12,43,BEG,7.25,35,4.82,NF,12,28,13,1,0,0,0,0,0,36,0,0,35,0,0,1,1,962,18,19
30,6,2013,20,13,20,BEG,2.68,8,2.98,NF,26,14,9,2,2,1,0,0,0,13,0,0,11,0,0,2,2,389,8,8
30,6,2013,20,13,28,BEG,5.18,21,4.05,NF,14,24,14,2,0,0,0,0,0,26,0,0,23,0,0,2,2,735,15,16
30,6,2013,20,13,34,BEG,3.65,12,3.28,NF,21,15,13,4,1,0,0,0,0,19,0,0,17,0,0,3,4,566,11,12
30,6,2013,20,14,17,BEG,4.48,13,2.90,NF,20,18,10,6,0,0,0,0,0,22,0,0,20,0,0,4,4,664,13,13
1,7,2013,20,17,41,BEG,5.42,15,2.76,NF,14,26,7,6,1,0,0,0,0,27,0,0,24,0,0,4,5,744,15,15
1,7,2013,20,18,21,BEG,3.88,12,3.09,NF,20,18,13,3,0,0,0,0,0,19,0,0,17,0,0,3,3,599,12,12
1,7,2013,20,18,31,BEG,3.03,11,3.63,NF,27,11,14,1,1,0,0,0,0,13,0,0,12,0,0,1,5,475,10,11
1,7,2013,20,19,8,BEG,4.09,12,2.93,NF,21,16,12,4,1,0,0,0,0,21,0,0,18,0,0,3,3,611,11,12
1,7,2013,20,19,19,BEG,3.08,11,3.57,NF,24,16,12,2,0,0,0,0,0,13,0,0,12,0,0,1,2,447,11,11
2,7,2013,18,29,47,BEG,5.07,14,2.76,NF,17,21,11,4,1,0,0,0,0,26,0,0,22,0,0,4,4,800,14,14
2,7,2013,18,29,52,BEG,3.41,14,4.10,NF,20,19,10,3,2,0,0,0,0,17,0,0,15,0,0,2,2,551,11,14
2,7,2013,18,29,56,BEG,3.87,11,2.84,NF,17,22,14,0,1,0,0,0,0,19,0,0,16,0,0,3,2,623,11,11
2,7,2013,18,30,29,BEG,6.19,17,2.74,NF,14,24,10,6,0,0,0,0,0,27,0,0,24,0,0,4,8,940,17,17
